price,state,zip_code,area,home_status,latitude,longitude,zestimate,time_on_zillow,rent_zestimate,home_type,bedrooms,bathrooms,days_on_zillow,variable_type,variable_text,living_area,tax
2645.0,NY,10065,None,FOR_RENT,40.763796,-73.959676,None,1615356840000,4496,MULTI_FAMILY,3.0,2.0,33,TIME_ON_INFO,33 days ago,None,None
2645.0,NY,10065,800,FOR_RENT,40.762017,-73.959544,None,1614986400000,2533,MULTI_FAMILY,1.0,1.0,37,TIME_ON_INFO,37 days ago,800.0,92183000.0
2950.0,NY,10065,None,FOR_RENT,40.76858,-73.969084,472899,1614729180000,None,MULTI_FAMILY,None,1.0,40,TIME_ON_INFO,40 days ago,None,None
2500.0,NY,10065,500,FOR_RENT,40.763912,-73.965187,559767,1610700720000,2330,MULTI_FAMILY,None,1.0,87,TIME_ON_INFO,42 days ago,500.0,183233.0
2800.0,NY,10065,None,FOR_RENT,40.76313,-73.966796,479666,1614397860000,None,MULTI_FAMILY,None,1.0,44,TIME_ON_INFO,44 days ago,None,None
2689.0,NY,10065,None,FOR_RENT,40.762228,-73.959064,644479,1613528760000,None,MULTI_FAMILY,1.0,1.0,54,TIME_ON_INFO,54 days ago,None,None
2550.0,NY,10065,575,FOR_RENT,40.768966,-73.968048,447383,1613107020000,None,MULTI_FAMILY,None,1.0,59,TIME_ON_INFO,59 days ago,575.0,None
2500.0,NY,10065,None,FOR_RENT,40.762526,-73.964391,531642,1612962480000,2100,MULTI_FAMILY,1.0,1.0,60,TIME_ON_INFO,60 days ago,None,None
2650.0,NY,10065,None,FOR_RENT,40.765873,-73.968476,697376,1611133080000,2500,MULTI_FAMILY,1.0,1.0,82,TIME_ON_INFO,82 days ago,None,None
2540.0,NY,10065,None,FOR_RENT,40.763795,-73.960866,592981,1607754780000,None,MULTI_FAMILY,1.0,1.0,121,TIME_ON_INFO,121 days ago,None,None
2500.0,NY,10065,None,FOR_RENT,40.762844,-73.96602,None,1605602280000,2300,MULTI_FAMILY,1.0,1.0,146,TIME_ON_INFO,146 days ago,None,None
2500.0,NY,10065,500,FOR_RENT,40.75989,-73.960141,None,1602119100000,2200,MULTI_FAMILY,None,1.0,186,TIME_ON_INFO,186 days ago,500.0,None
3200.0,NY,10065,925,FOR_RENT,40.760985,-73.959776,496721,1618088760000,3300,MULTI_FAMILY,1.0,1.0,1,TIME_ON_INFO,1 day ago,925.0,None
3295.0,NY,10065,874,FOR_RENT,40.763824,-73.958748,862866,1618026660000,3395,MULTI_FAMILY,1.0,1.0,2,TIME_ON_INFO,2 days ago,874.0,226649.0
3308.0,NY,10065,None,FOR_RENT,40.762932,-73.96344,None,1618026660000,None,MULTI_FAMILY,2.0,2.0,2,TIME_ON_INFO,2 days ago,None,None
3050.0,NY,10065,None,FOR_RENT,40.762103,-73.962548,None,1617839400000,2495,MULTI_FAMILY,2.0,1.0,4,TIME_ON_INFO,4 days ago,None,None
3500.0,NY,10065,None,FOR_RENT,40.766464,-73.967948,640659,1617836340000,None,MULTI_FAMILY,1.0,1.0,4,TIME_ON_INFO,4 days ago,None,None
3500.0,NY,10065,805,FOR_RENT,40.75989,-73.960141,748308,1617492060000,4000,MULTI_FAMILY,1.0,1.5,8,TIME_ON_INFO,8 days ago,805.0,None
3500.0,NY,10065,304510,FOR_RENT,40.761383,-73.957935,790960,1617417900000,2800,MULTI_FAMILY,2.0,1.0,9,TIME_ON_INFO,9 days ago,304510.0,70991000.0
3100.0,NY,10065,850,FOR_RENT,40.762607,-73.96191,661163,1617317040000,2500,MULTI_FAMILY,1.0,1.0,10,TIME_ON_INFO,10 days ago,850.0,None
3500.0,NY,10065,None,FOR_RENT,40.763398,-73.959602,626834,1617167160000,2310,MULTI_FAMILY,1.0,1.0,12,OPEN_HOUSE,Open: Tue. 12:30-1:30pm,None,None
3310.0,NY,10065,None,FOR_RENT,40.7619,-73.963782,None,1617164580000,None,MULTI_FAMILY,1.0,1.0,12,TIME_ON_INFO,12 days ago,None,None
3450.0,NY,10065,992,FOR_RENT,40.768966,-73.968048,770088,1617088560000,2950,MULTI_FAMILY,1.0,1.0,13,TIME_ON_INFO,13 days ago,992.0,None
3300.0,NY,10065,730,FOR_RENT,40.763339,-73.96279,517029,1616648760000,3100,MULTI_FAMILY,1.0,1.0,18,TIME_ON_INFO,18 days ago,730.0,None
3050.0,NY,10065,None,FOR_RENT,40.765201,-73.967223,653241,1616621520000,2300,MULTI_FAMILY,1.0,1.0,18,TIME_ON_INFO,18 days ago,None,None
3500.0,NY,10065,915,FOR_RENT,40.763199,-73.961156,892705,1615974660000,3500,MULTI_FAMILY,1.0,1.0,25,TIME_ON_INFO,25 days ago,915.0,287506.0
